module,function,timing,time
[PDCP],deliver_pdu_drb_gnb,start,5355590497 
[PDCP],enqueue_rlc_data_req,start,5355590502 
[PDCP],enqueue_rlc_data_req,end,5355590506 
[PDCP],deliver_pdu_drb_gnb,end,5355590508 
[PDCP],nr_pdcp_data_req_drb,end,5355590510 
[SDAP],nr_sdap_tx_entity,end,5355590512 
[SDAP],sdap_data_req,end,5355590514 
[SDAP],sdap_data_req,start,5355590930 
[SDAP],nr_sdap_tx_entity,start,5355590958 
[PDCP],nr_pdcp_data_req_drb,start,5355590960 
[PDCP],deliver_pdu_drb_gnb,start,5355590966 
[PDCP],enqueue_rlc_data_req,start,5355590975 
[PDCP],enqueue_rlc_data_req,end,5355590978 
[PDCP],deliver_pdu_drb_gnb,end,5355590981 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591169 
[PDCP],nr_pdcp_data_req_drb,end,5355591174 
[SDAP],nr_sdap_tx_entity,end,5355591180 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591188 
[SDAP],sdap_data_req,end,5355591213 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591217 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591220 
[SDAP],sdap_data_req,start,5355591226 
[SDAP],nr_sdap_tx_entity,start,5355591232 
[PDCP],nr_pdcp_data_req_drb,start,5355591234 
[PDCP],deliver_pdu_drb_gnb,start,5355591238 
[PDCP],enqueue_rlc_data_req,start,5355591241 
[PDCP],enqueue_rlc_data_req,end,5355591245 
[PDCP],deliver_pdu_drb_gnb,end,5355591247 
[PDCP],nr_pdcp_data_req_drb,end,5355591252 
[SDAP],nr_sdap_tx_entity,end,5355591259 
[SDAP],sdap_data_req,end,5355591260 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591256 
[SDAP],sdap_data_req,start,5355591265 
[SDAP],nr_sdap_tx_entity,start,5355591268 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591274 
[PDCP],nr_pdcp_data_req_drb,start,5355591276 
[PDCP],deliver_pdu_drb_gnb,start,5355591281 
[PDCP],enqueue_rlc_data_req,start,5355591333 
[PDCP],enqueue_rlc_data_req,end,5355591337 
[PDCP],deliver_pdu_drb_gnb,end,5355591339 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591342 
[PDCP],nr_pdcp_data_req_drb,end,5355591344 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591347 
[SDAP],nr_sdap_tx_entity,end,5355591350 
[SDAP],sdap_data_req,end,5355591356 
[SDAP],sdap_data_req,start,5355591397 
[SDAP],nr_sdap_tx_entity,start,5355591399 
[PDCP],nr_pdcp_data_req_drb,start,5355591401 
[PDCP],deliver_pdu_drb_gnb,start,5355591403 
[PDCP],enqueue_rlc_data_req,start,5355591405 
[PDCP],enqueue_rlc_data_req,end,5355591415 
[PDCP],deliver_pdu_drb_gnb,end,5355591417 
[PDCP],nr_pdcp_data_req_drb,end,5355591420 
[SDAP],nr_sdap_tx_entity,end,5355591422 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591424 
[SDAP],sdap_data_req,end,5355591425 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591454 
[SDAP],sdap_data_req,start,5355591459 
[SDAP],nr_sdap_tx_entity,start,5355591472 
[PDCP],nr_pdcp_data_req_drb,start,5355591479 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355591477 
[PDCP],deliver_pdu_drb_gnb,start,5355591481 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355591486 
[PDCP],enqueue_rlc_data_req,start,5355591489 
[RLC],generate_tx_pdu,start,5355591491 
[PDCP],enqueue_rlc_data_req,end,5355591494 
[RLC],serialize_sdu,start,5355591498 
[PDCP],deliver_pdu_drb_gnb,end,5355591500 
[PDCP],nr_pdcp_data_req_drb,end,5355591505 
[RLC],serialize_sdu,end,5355591509 
[SDAP],nr_sdap_tx_entity,end,5355591511 
[RLC],generate_tx_pdu,end,5355591513 
[SDAP],sdap_data_req,end,5355591515 
