count,time,size
100,0.0018646717071533203,256
101,0.002042531967163086,320
102,0.002053976058959961,384
103,0.001796722412109375,448
104,0.0020918846130371094,512
105,0.002215862274169922,576
106,0.0023908615112304688,640
107,0.0019044876098632812,704
108,0.001957416534423828,768
109,0.0021250247955322266,832
110,0.0018222332000732422,896
111,0.002353668212890625,960
112,0.0024776458740234375,1024
113,0.0019249916076660156,64
114,0.0018749237060546875,128
115,0.0019459724426269531,192
116,0.0019562244415283203,256
117,0.001714468002319336,320
118,0.0023946762084960938,384
119,0.0019240379333496094,448
120,0.0017857551574707031,512
121,0.001991748809814453,576
122,0.0018167495727539062,640
123,0.0019192695617675781,704
124,0.0018427371978759766,768
125,0.0022428035736083984,832
126,0.0020601749420166016,896
127,0.002181529998779297,960
128,0.0017938613891601562,1024
129,0.001926422119140625,64
130,0.0020139217376708984,128
131,0.002392292022705078,192
132,0.0020830631256103516,256
133,0.0020530223846435547,320
134,0.0020563602447509766,384
135,0.0018346309661865234,448
136,0.0019023418426513672,512
137,0.0023741722106933594,576
138,0.0020525455474853516,640
139,0.0021369457244873047,704
140,0.0017583370208740234,768
141,0.0021958351135253906,832
142,0.0020096302032470703,896
143,0.0018973350524902344,960
144,0.0017056465148925781,1024
145,0.0019104480743408203,64
146,0.0019745826721191406,128
147,0.0022001266479492188,192
148,0.0019254684448242188,256
149,0.002178192138671875,320
150,0.0019690990447998047,384
151,0.0018529891967773438,448
152,0.002268552780151367,512
153,0.002099752426147461,576
154,0.0020439624786376953,640
155,0.0023796558380126953,704
156,0.0020596981048583984,768
157,0.00197601318359375,832
158,0.0018801689147949219,896
159,0.0019826889038085938,960
160,0.0020008087158203125,1024
161,0.002106904983520508,64
162,0.0017821788787841797,128
163,0.0023033618927001953,192
164,0.0018324851989746094,256
165,0.0020530223846435547,320
166,0.0017943382263183594,384
167,0.0019316673278808594,448
168,0.0021293163299560547,512
169,0.001969575881958008,576
170,0.0017333030700683594,640
171,0.0017900466918945312,704
172,0.0020809173583984375,768
173,0.0020432472229003906,832
174,0.002270221710205078,896
