module,function,timing,time
[RLC],nr_rlc_entity_am_generate_pdu,end,160662116 
[RLC],generate_tx_pdu,start,160662123 
[RLC],serialize_sdu,start,160662129 
[RLC],serialize_sdu,end,160662136 
[RLC],generate_tx_pdu,end,160662142 
[SDAP],sdap_data_req,start,160838364 
[SDAP],nr_sdap_tx_entity,start,160838588 
[PDCP],nr_pdcp_data_req_drb,start,160838609 
[PDCP],deliver_pdu_drb_gnb,start,160838618 
[PDCP],enqueue_rlc_data_req,start,160838627 
[PDCP],enqueue_rlc_data_req,end,160838635 
[PDCP],deliver_pdu_drb_gnb,end,160838799 
[RLC],rlc_data_req_thread,start,160838648 
[PDCP],nr_pdcp_data_req_drb,end,160838944 
[RLC],rlc_data_req,start,160839075 
[SDAP],nr_sdap_tx_entity,end,160839088 
[RLC],nr_rlc_entity_am_recv_sdu,start,160839106 
[SDAP],sdap_data_req,end,160839117 
[RLC],nr_rlc_entity_am_recv_sdu,end,160839129 
[RLC],rlc_data_req,end,160839216 
[RLC],rlc_data_req_thread,end,160839222 
[RLC],nr_rlc_entity_am_generate_pdu,start,160839750 
[RLC],nr_rlc_entity_am_generate_pdu,end,160839775 
[RLC],generate_tx_pdu,start,160839782 
[RLC],serialize_sdu,start,160839817 
[RLC],serialize_sdu,end,160839824 
[RLC],generate_tx_pdu,end,160839830 
[SDAP],sdap_data_req,start,161017480 
[SDAP],nr_sdap_tx_entity,start,161017685 
[PDCP],nr_pdcp_data_req_drb,start,161017708 
[PDCP],deliver_pdu_drb_gnb,start,161017718 
[PDCP],enqueue_rlc_data_req,start,161017758 
[PDCP],enqueue_rlc_data_req,end,161017818 
[PDCP],deliver_pdu_drb_gnb,end,161017824 
[RLC],rlc_data_req_thread,start,161017830 
[PDCP],nr_pdcp_data_req_drb,end,161017942 
[SDAP],nr_sdap_tx_entity,end,161017985 
[SDAP],sdap_data_req,end,161017992 
[RLC],rlc_data_req,start,161017968 
[RLC],nr_rlc_entity_am_recv_sdu,start,161018122 
